,name,surname,address,postal_code,city,province,timestamp,type,amount_kg,price_kg,sales_amount
0,Cleo,Melendez,"Calle U, nº 377",44175,Orrios,Teruel,2022-05-10 20:23:47,8,1.25,24.8,31.0
1,Haley,Rivas,"Calle K, nº 369",19095,Condemios de Abajo,Guadalajara,2022-02-25 12:22:12,8,0.75,29.2,21.9
2,Andrew,Whitley,"Calle M, nº 196",47073,Herrín de Campos,Valladolid,2022-10-16 04:38:07,8,0.75,25.7,19.275
3,Galvin,Houston,"Calle G, nº 355",19166,Málaga del Fresno,Guadalajara,2022-08-31 17:58:53,8,5.0,20.3,101.5
4,Hu,Brock,"Calle T, nº 300",39058,Rasines,Cantabria,2022-05-16 07:25:14,8,3.0,27.6,82.80000000000001
5,Damian,Yang,"Calle V, nº 22",48913,Zierbena,Bizkaia,2022-06-13 02:00:27,8,4.0,28.7,114.8
6,Jason,Harding,"Calle Z, nº 89",32069,Ribadavia,Ourense,2022-03-28 07:14:15,8,4.0,17.0,68.0
7,Amir,Barnes,"Calle D, nº 52",49024,"Bóveda de Toro, La",Zamora,2022-03-23 03:52:27,8,2.0,28.1,56.2
8,Alma,Watts,"Calle B, nº 342",49097,Justel,Zamora,2022-05-15 05:01:59,8,3.0,34.1,102.30000000000001
9,Rhoda,Mason,"Calle K, nº 266",18137,Montillana,Granada,2022-12-23 09:45:55,8,1.25,22.1,27.625
10,Dean,Blair,"Calle V, nº 33",22150,Loporzano,Huesca,2022-08-26 08:48:42,8,4.0,15.9,63.6
11,Naida,Rogers,"Calle L, nº 325",35033,Vega de San Mateo,Las Palmas,2022-01-07 11:08:29,8,2.0,29.8,59.6
12,Isaac,Dotson,"Calle J, nº 378",32035,"Irixo, O",Ourense,2022-05-01 16:34:30,8,1.5,29.3,43.95
13,Tanner,Bailey,"Calle K, nº 125",49032,Calzadilla de Tera,Zamora,2022-09-05 16:04:29,8,1.0,19.1,19.1
14,Alec,Fleming,"Calle S, nº 113",47008,Almenara de Adaja,Valladolid,2022-10-19 02:41:33,8,5.0,32.2,161.0
